time,temperature,KE,PE,TE,P
3.2249999999999535,1.232890873661082,1.849336310491623,-5.693544578227378,-3.8442082677357554,14.734237990226186
3.2299999999999534,1.2385702075493024,1.8578553113239535,-5.702164793557589,-3.8443094822336357,14.637515626462259
3.2349999999999532,1.2431035810816007,1.8646553716224012,-5.709041501258567,-3.844386129636166,14.560258375969983
3.239999999999953,1.2456619699509066,1.86849295492636,-5.712918556608661,-3.844425601682301,14.516581429060187
3.244999999999953,1.2458343825024882,1.8687515737537324,-5.713180634046335,-3.844429060292602,14.513509717756712
3.249999999999953,1.243661208503049,1.8654918127545734,-5.709886537198487,-3.844394724443913,14.550698853493301
3.254999999999953,1.2396334343971576,1.8594501515957362,-5.703769220093849,-3.8443190684981126,14.620030661915182
3.2599999999999527,1.2346989883813653,1.8520484825720478,-5.696251800504654,-3.8442033179326063,14.70550346290774
3.2649999999999526,1.2301778070635512,1.8452667105953269,-5.68934124234025,-3.8440745317449228,14.783890631035712
3.2699999999999525,1.227422181589462,1.8411332723841929,-5.68513123181947,-3.843997959435278,14.829751760968048
3.2749999999999524,1.2271381261305314,1.8407071891957971,-5.684759265056681,-3.8440520758608843,14.828199093649804
3.2799999999999523,1.2287352123931026,1.8431028185896539,-5.687334764146255,-3.8442319455566003,14.788909870316356
3.284999999999952,1.2304419557570065,1.84566293363551,-5.690081134631015,-3.844418200995505,14.745096957978154
3.289999999999952,1.230404893493235,1.8456073402398525,-5.690077521939623,-3.84447018169977,14.732098485122542
3.294999999999952,1.2279490198386052,1.8419235297579077,-5.686276804881339,-3.8443532751234306,14.763189808449434
3.299999999999952,1.22394934094,1.8359240114099997,-5.68007250477866,-3.8441484933686603,14.822173701140448
3.3049999999999518,1.2201605611300466,1.8302408416950697,-5.674211112675965,-3.8439702709808956,14.877170655739429
3.3099999999999516,1.2181993719348874,1.827299057902331,-5.671177419516228,-3.843878361613897,14.900383416447372
3.3149999999999515,1.218910554150518,1.8283658312257771,-5.672235324025781,-3.8438694928000037,14.87887836368755
3.3199999999999514,1.222357374003216,1.8335360610048241,-5.677439448662757,-3.843903387657933,14.813398733739284
3.3249999999999513,1.2281338895443292,1.842200834316494,-5.686151980842256,-3.8439511465257623,14.711622816358274
3.329999999999951,1.2356346180035225,1.8534519270052838,-5.697458653047331,-3.8440067260420467,14.583480477276265
3.334999999999951,1.2441558585773065,1.8662337878659596,-5.71030826246608,-3.8440744746001205,14.43943397692201
3.339999999999951,1.2528715645654178,1.8793073468481265,-5.723470046355611,-3.8441626995074842,14.291970453500323
3.344999999999951,1.2607891985838031,1.891183797875705,-5.735451286371582,-3.844267488495877,14.157195643098328
3.349999999999951,1.2668180474496307,1.9002270711744458,-5.744587076045018,-3.844360004870572,14.053500352623377
3.3549999999999507,1.2700482650987748,1.9050723976481623,-5.749469996527136,-3.8443975988789734,13.997397295625632
3.3599999999999506,1.2701286900743598,1.9051930351115398,-5.749550590173758,-3.844357555062218,13.995870735589094
